Cell,Pack Voltage (V),SMod,S,Pack Current (A),P,MCnt,Pack Power (kW),Pack Energy (kWh),Total Pack Weight (kg),Cell Weight (kg),Total Wall Weight (kg),Grav Energy Density (Wh/kg),Grav Power Density (W/kg),Pack Length (mm),Pack Width (mm),Pack Height (mm),Total Wall Volume (mm³)
p28a,604.8000000000001,21,168,140.0,4.0,8,84.67200000000001,6.773760000000001,36.5174519666,30.912,5.6054519666000004,0.18549377448885243,2.318672181110655,388.5,521.2,74.0,2068432.4600000002
p28a,594.0,33,165,140.0,4.0,5,83.16,6.6528,35.799236393,30.36,5.439236393000001,0.1858363660879888,2.32295457609986,610.5,325.75,74.0,2007098.3000000003
p28a,583.2,27,162,140.0,4.0,6,81.648,6.531840000000001,35.1678265638,29.808,5.3598265637999996,0.1857334000482006,2.321667500602507,499.5,390.90000000000003,74.0,1977795.78
p28a,579.6,23,161,140.0,4.0,7,81.144,6.49152,34.9803572218,29.624,5.3563572218,0.1855761494612308,2.3197018682653847,425.5,456.05000000000007,74.0,1976515.58
p28a,576.0,20,160,140.0,4.0,8,80.64,6.4512,34.8014208568,29.44,5.361420856800001,0.18537174176149973,2.3171467720187464,370.0,521.2,74.0,1978384.0800000003
p28a,604.8,28,168,105.0,3.0,6,63.50399999999999,5.08032,28.220717518500003,23.184,5.0367175185,0.18002093662819213,2.250261707852401,518.0,390.90000000000003,55.5,1858567.35
p28a,604.8000000000001,24,168,105.0,3.0,7,63.504000000000005,5.08032,28.24019346195,23.184,5.05619346195,0.17989678458984615,2.2487098073730767,444.0,456.05000000000007,55.5,1865754.0450000002
p28a,604.8000000000001,21,168,105.0,3.0,8,63.504000000000005,5.08032,28.26606913815,23.184,5.0820691381500005,0.17973210124018343,2.246651265502293,388.5,521.2,55.5,1875302.2650000001
p28a,594.0,33,165,105.0,3.0,5,62.37,4.9896,27.71172924075,22.77,4.94172924075,0.18005372225789545,2.250671528223693,610.5,325.75,55.5,1823516.3250000002
p28a,583.2,27,162,105.0,3.0,6,61.236000000000004,4.89888,27.22249365165,22.356,4.866493651650001,0.17995706281312956,2.24946328516412,499.5,390.90000000000003,55.5,1795754.1150000002
p28a,579.6,23,161,105.0,3.0,7,60.858,4.868640000000001,27.07666557275,22.218,4.85866557275,0.1798094372779715,2.247617965974643,425.5,456.05000000000007,55.5,1792865.525
p28a,576.0,20,160,105.0,3.0,8,60.48,4.8384,26.937237226599997,22.08,4.857237226600001,0.17961752941842804,2.2452191177303504,370.0,521.2,55.5,1792338.4600000004
Life v4,408.8,14,112,221.0,10.0,8,90.3448,12.32532,61.7831648422,55.552,6.231164842199999,0.1994931795980349,1.4622883147981995,259.0,521.2,185.0,2299322.82
Life v4,383.25,15,105,221.0,10.0,7,84.69825,11.5549875,57.8865905785,52.08,5.806590578499999,0.199614235084899,1.4631756535244673,277.5,456.05000000000007,185.0,2142653.3499999996
Life v4,379.59999999999997,13,104,221.0,10.0,8,83.8916,11.444939999999999,57.45593854290001,51.58400000000001,5.871938542899999,0.19919507522193775,1.4601032047777196,240.5,521.2,185.0,2166766.9899999998
Life v4,408.8,16,112,198.9,9.0,7,81.31032,11.092788,55.74215017465,49.9968,5.7453501746499995,0.1990017960420317,1.4586864651837148,296.0,456.05000000000007,166.5,2120055.415
Life v4,408.8,14,112,198.9,9.0,8,81.31032,11.092788,55.83897640149999,49.99679999999999,5.8421764015,0.198656721789442,1.456157065189608,259.0,521.2,166.5,2155784.65
Life v4,383.25,15,105,198.9,9.0,7,76.228425,10.39948875,52.31742656145,46.872,5.44542656145,0.19877676394853191,1.457036976206486,277.5,456.05000000000007,166.5,2009382.4949999999
Life v4,379.59999999999997,13,104,198.9,9.0,8,75.50244,10.300445999999997,51.92774930045,46.4256,5.50214930045,0.1983611101725669,1.4539902271355656,240.5,521.2,166.5,2030313.395
Life v4,525.6,18,144,176.8,8.0,8,92.92608000000001,12.677472,63.875699572,57.1392,6.7364995720000005,0.19847096916269527,1.45479549535508,333.0,521.2,148.0,2485793.2
Life v4,496.4,17,136,176.8,8.0,8,87.76352,11.973168,60.380471669200006,53.964800000000004,6.415671669199998,0.19829537048991777,1.4535083541715368,314.5,521.2,148.0,2367406.5199999996
Life v4,511.0,20,140,154.70000000000002,7.0,7,79.05170000000001,10.784655,54.660057053349995,48.608,6.0520570533499995,0.1973041299513066,1.4462425445850335,370.0,456.05000000000007,129.5,2233231.385
Life v4,525.6,18,144,154.70000000000002,7.0,8,81.31032,11.092788,56.2675143383,49.9968,6.2707143382999995,0.197143736140649,1.4450668552929828,333.0,521.2,129.5,2313916.73
Life v4,485.44999999999993,19,133,154.70000000000002,7.0,7,75.099115,10.245422249999999,51.963865348149994,46.1776,5.786265348149999,0.19716435991351353,1.4452180278900992,351.5,456.05000000000007,129.5,2135153.2649999997
Life v4,496.4,17,136,154.70000000000002,7.0,8,76.79308,10.476522,53.188285633750006,47.21920000000001,5.96908563375,0.1969704771486796,1.4437968640085637,314.5,521.2,129.5,2202614.625
Life v4,613.1999999999999,21,168,154.70000000000002,7.0,8,94.86204,12.941585999999997,65.50520045195,58.329600000000006,7.175600451949999,0.1975657796741349,1.4481604413924982,388.5,521.2,129.5,2647823.045
Life v4,584.0,20,160,154.70000000000002,7.0,8,90.3448,12.32532,62.4259717474,55.552,6.873971747400001,0.19743897699939836,1.4472309756838155,370.0,521.2,129.5,2536520.9400000004
Life v4,613.1999999999999,24,168,132.60000000000002,6.0,7,81.31032,11.092788,56.5972662711,49.9968,6.6004662711,0.19599512009759842,1.436647480649063,444.0,456.05000000000007,111.0,2435596.41
Life v4,613.1999999999999,21,168,132.60000000000002,6.0,8,81.31032,11.092788,56.6490176235,49.9968,6.6522176235,0.1958160699930359,1.435335040413298,388.5,521.2,111.0,2454692.85
Life v4,587.65,23,161,132.60000000000002,6.0,7,77.92239000000001,10.630588499999998,54.265340519899986,47.91359999999999,6.3517405199,0.1959001528075105,1.4359513688378054,425.5,456.05000000000007,111.0,2343815.69
Life v4,584.0,20,160,132.60000000000002,6.0,8,77.43840000000002,10.56456,53.9857881172,47.616,6.369788117200001,0.19569150267964885,1.4344219599403785,370.0,521.2,111.0,2350475.3200000003
25S,403.2,28,112,210.0,6.0,4,84.672,6.048,35.2714046008,30.7776,4.4938046008,0.17147034739475117,2.4005848635265163,518.0,260.6,111.0,1658230.48
25S,414.0,23,115,210.0,6.0,5,86.94,6.21,36.2230682875,31.602,4.6210682875,0.17143771341267,2.40012798777738,425.5,325.75,111.0,1705191.25
25S,410.40000000000003,19,114,210.0,6.0,6,86.184,6.156,35.9535164193,31.327199999999998,4.6263164193,0.17122108247235124,2.3970951546129173,351.5,390.90000000000003,111.0,1707127.83
25S,403.2,16,112,210.0,6.0,7,84.672,6.048,35.388260261499994,30.777599999999996,4.6106602615,0.17090413474153773,2.392657886381528,296.0,456.05000000000007,111.0,1701350.65
