Store,Link,Brand,Model,Package,Capacity,Discharge Rate,Weight,Length,Thickness,Width,Voltage
GREPow,https://www.grepow.com/high-discharge-rate-battery/5c-high-discharge-lipo-cell.html,GREPow,GRP5642126,Pouch,3500,17.5,61,126.5,5.3,41.5,3.7
GREPow,https://www.grepow.com/high-discharge-rate-battery/5c-high-discharge-lipo-cell.html,GREPow,GRP5942126,Pouch,3900,19.5,67,126.5,5.7,41.5,3.7
GREPow,https://www.grepow.com/high-discharge-rate-battery/5c-high-discharge-lipo-cell.html,GREPow,GRP4645160,Pouch,4000,20,71,160.5,4.4,44.5,3.7
GREPow,https://www.grepow.com/high-discharge-rate-battery/5c-high-discharge-lipo-cell.html,GREPow,GRP5745135,Pouch,4300,21.5,74,134.5,5.6,44.5,3.7
GREPow,https://www.grepow.com/high-discharge-rate-battery/5c-high-discharge-lipo-cell.html,GREPow,GRP6742126,Pouch,4500,22.5,77.5,127,6.5,41.5,3.7
GREPow,https://www.grepow.com/high-discharge-rate-battery/5c-high-discharge-lipo-cell.html,GREPow,GRP7142126,Pouch,4800,24,82,127,6.8,41.5,3.7
GREPow,https://www.grepow.com/high-discharge-rate-battery/5c-high-discharge-lipo-cell.html,GREPow,GRP9945090,Pouch,5000,25,83.5,90.5,9.6,44.5,3.7
GREPow,https://www.grepow.com/high-discharge-rate-battery/5c-high-discharge-lipo-cell.html,GREPow,GRP7945119,Pouch,5200,26,90,120,7.6,44.5,3.7
GREPow,https://www.grepow.com/high-discharge-rate-battery/5c-high-discharge-lipo-cell.html,GREPow,GRP9642124,Pouch,6500,32.5,106,125,9.3,41.5,3.7
GREPow,https://www.grepow.com/high-discharge-rate-battery/5c-high-discharge-lipo-cell.html,GREPow,GRP6875110,Pouch,6750,33.75,114.5,109.5,6.6,74.5,3.7
GREPow,https://www.grepow.com/high-discharge-rate-battery/5c-high-discharge-lipo-cell.html,GREPow,GRP9043158,Pouch,7600,38,131.5,156.5,8.7,42,3.7
GREPow,https://www.grepow.com/high-discharge-rate-battery/5c-high-discharge-lipo-cell.html,GREPow,GRP6870135,Pouch,8100,24.3,136,135,6.6,70,3.7
GREPow,https://www.grepow.com/high-discharge-rate-battery/5c-high-discharge-lipo-cell.html,GREPow,GRP8288111,Pouch,10000,30,164,111,7.9,87,3.7
GREPow,https://www.grepow.com/high-discharge-rate-battery/5c-high-discharge-lipo-cell.html,GREPow,GRP9759156,Pouch,11300,33.9,188,156,9.3,58.5,3.7
GREPow,https://www.grepow.com/high-discharge-rate-battery/5c-high-discharge-lipo-cell.html,GREPow,GRP9864159,Pouch,12500,37.5,205,158,9.5,63.5,3.7
GREPow,https://www.grepow.com/high-discharge-rate-battery/5c-high-discharge-lipo-cell.html,GREPow,GRP85C0130,Pouch,16400,32.8,272,129,8.2,119.5,3.7
GREPow,https://www.grepow.com/high-discharge-rate-battery/5c-high-discharge-lipo-cell.html,GREPow,GRPA875175,Pouch,18000,36,295,174,10.3,74,3.7
GREPow,https://www.grepow.com/high-discharge-rate-battery/5c-high-discharge-lipo-cell.html,GREPow,GRP9090190,Pouch,20000,40,331,189,8.7,89,3.7
GREPow,https://www.grepow.com/high-discharge-rate-battery/5c-high-discharge-lipo-cell.html,GREPow,GRP7398225,Pouch,21000,105,350,224.5,7,97,3.7
GREPow,https://www.grepow.com/high-discharge-rate-battery/5c-high-discharge-lipo-cell.html,GREPow,GRPA390190,Pouch,21500,43,357,189.5,9.5,89.5,3.7
GREPow,https://www.grepow.com/high-discharge-rate-battery/5c-high-discharge-lipo-cell.html,GREPow,GRP9495183,Pouch,22000,44,355,182,9,94,3.7
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-10c-lipo-battery-cells.html,0,GRP5934050,Pouch,1000,10,18.5,50,5.8,33,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-10c-lipo-battery-cells.html,0,GRP7243058,Pouch,2000,20,36.5,58.5,6.9,42.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-10c-lipo-battery-cells.html,0,GRP5550077,Pouch,2300,23,41,76.5,5.2,49.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-10c-lipo-battery-cells.html,0,GRP6342083,Pouch,3100,20,48,82,6.1,49.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-10c-lipo-battery-cells.html,0,GRP6843084,Pouch,3700,37,58.5,84,6.6,49.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-10c-lipo-battery-cells.html,0,GRP9542080,Pouch,4300,43,70,81,9.2,41,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-10c-lipo-battery-cells.html,0,GRP6343135,Pouch,4500,40,74,135,6.1,43,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-10c-lipo-battery-cells.html,0,GRP6845135,Pouch,5200,52,89,134.5,6.7,44.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-10c-lipo-battery-cells.html,0,GRPA834124,Pouch,5800,58,95,124,10.5,33.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-10c-lipo-battery-cells.html,0,GRP7667096,Pouch,6000,60,99,96.5,7.2,66.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-10c-lipo-battery-cells.html,0,GRPA734124,Pouch,6300,40,100,124,10.5,33.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-10c-lipo-battery-cells.html,0,GRPB042126,Pouch,7500,75,125,127,10.5,41.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-10c-lipo-battery-cells.html,0,GRPA942126,Pouch,8000,24,131,127,10.6,41.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-10c-lipo-battery-cells.html,0,GRP7164155,Pouch,8500,42.5,145,154.5,6.8,63.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-10c-lipo-battery-cells.html,0,GRPA948142,Pouch,9700,48.5,159,141.5,10.7,47,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-10c-lipo-battery-cells.html,0,GRP9946170,Pouch,10000,50,166,169,9.6,45.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-10c-lipo-battery-cells.html,0,GRP8270175,Pouch,12000,120,202,174,7.9,69,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-10c-lipo-battery-cells.html,0,GRP8995132,Pouch,14000,70,232,131,8.6,94.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-10c-lipo-battery-cells.html,0,GRPA275175,Pouch,16800,50.4,276,174.5,9.8,74.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-10c-lipo-battery-cells.html,0,GRP8295183,Pouch,18000,54,299,182,8,94,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-10c-lipo-battery-cells.html,0,GRP9990190,Pouch,22000,66,351,189.5,9.6,89.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-10c-lipo-battery-cells.html,0,GRPA690190,Pouch,24300,72.9,382,189.5,10.3,89.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-10c-lipo-battery-cells.html,0,GRPA5B0194,Pouch,27500,82.5,442,194,10.2,110,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-10c-lipo-battery-cells.html,0,GRPA0B1220,Pouch,30000,90,492,220,9.7,110.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-10c-lipo-battery-cells.html,0,GRPA0C0200,Pouch,32000,96,505,199.5,9.7,119.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-10c-lipo-battery-cells.html,0,GRPA5A0260,Pouch,34000,102,568,260,10.1,99,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-10c-lipo-battery-cells.html,0,GRP95B0270,Pouch,35800,107.4,576,270,9.2,110,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-10c-lipo-battery-cells.html,0,GRPA7C0240,Pouch,40000,120,655,239.5,10.4,119.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-15c-lipo-battery-cells.html,0,GRP5017095,Pouch,750,11.25,14.5,96,4.8,17,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-15c-lipo-battery-cells.html,0,GRP7027080,Pouch,1600,16,30,81,6.7,26.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-15c-lipo-battery-cells.html,0,GRP6642085,Pouch,2800,42,48,86.5,6.3,42,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-15c-lipo-battery-cells.html,0,GRP5843084,Pouch,3000,20,46,84,5.3,42.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-15c-lipo-battery-cells.html,0,GRP7942080,Pouch,3600,20,58,80.5,7.5,41,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-15c-lipo-battery-cells.html,0,GRP7842080,Pouch,3850,20,59,80,7.5,41.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-15c-lipo-battery-cells.html,0,GRP5267103,Pouch,4000,60,73,102.5,4.9,66,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-15c-lipo-battery-cells.html,0,GRP8143084,Pouch,4200,20,65,84.5,7.7,42.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-15c-lipo-battery-cells.html,0,GRP8843084,Pouch,4800,72,76.5,84.5,8.5,42.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-15c-lipo-battery-cells.html,0,GRP6642124,Pouch,5150,77.25,82.5,125,6.5,41.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-15c-lipo-battery-cells.html,0,GRP9044124,Pouch,5800,87,102.5,124.5,8.7,43,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-15c-lipo-battery-cells.html,0,GRP8043143,Pouch,6000,90,104,144,7.7,42,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-15c-lipo-battery-cells.html,0,GRPB243084,Pouch,6350,95.25,98,84.5,10.9,42.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-15c-lipo-battery-cells.html,0,GRPA344124,Pouch,6600,99,116,125,10,43,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-15c-lipo-battery-cells.html,0,GRP6956155,Pouch,7100,106.5,125,154.5,6.65,55.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-15c-lipo-battery-cells.html,0,GRPB042126,Pouch,7400,111,127,127,10.7,41.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-15c-lipo-battery-cells.html,0,GRP9842124,Pouch,7600,40,116,124.5,9.5,41.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-15c-lipo-battery-cells.html,0,GRP6475140,Pouch,7850,117.75,138,140,6.2,75,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-15c-lipo-battery-cells.html,0,GRPA842124,Pouch,8000,40,126,125,10.45,41.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-15c-lipo-battery-cells.html,0,GRPA742124,Pouch,8200,40,130,125,10.7,41.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-15c-lipo-battery-cells.html,0,GRPB242126,Pouch,9000,54,138,126.5,10.9,42,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-15c-lipo-battery-cells.html,0,GRP8364159,Pouch,10000,60,171,158.5,8,63.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-15c-lipo-battery-cells.html,0,GRP9364159,Pouch,11000,66,193,158,9.1,63.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-15c-lipo-battery-cells.html,0,GRP9185155,Pouch,13800,82.8,242,154.5,8.8,84.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-15c-lipo-battery-cells.html,0,GRP9885155,Pouch,15000,90,261,154.5,9.5,84.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-15c-lipo-battery-cells.html,0,GRP9990190,Pouch,21000,105,355,190,9.5,90,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-15c-lipo-battery-cells.html,0,GRP8780266,Pouch,24000,72,400,265,8.5,78.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-15c-lipo-battery-cells.html,0,GRP94C0185,Pouch,25800,129,445,184.5,9.1,119.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-20c-lipo-battery-cells.html,0,GRP5245085,Pouch,2700,20,44.5,84.5,5,44,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-20c-lipo-battery-cells.html,0,GRP8854085,Pouch,4300,86,82,84.5,8.5,53.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-20c-lipo-battery-cells.html,0,GRP6053117,Pouch,4350,87,79,116.5,5.9,52.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-20c-lipo-battery-cells.html,0,GRP9540104,Pouch,5000,40,85,103.5,9.2,39.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-20c-lipo-battery-cells.html,0,GRP9743084,Pouch,5300,106,85.5,84.5,9.6,42.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-20c-lipo-battery-cells.html,0,GRP6856155,Pouch,6600,120,122,154.5,6.65,55.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-20c-lipo-battery-cells.html,0,GRPA444120,Pouch,6700,120,120,119.5,10.1,43.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-20c-lipo-battery-cells.html,0,GRP9247145,Pouch,7000,120,132,145,8.9,47,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-20c-lipo-battery-cells.html,0,GRP9542124,Pouch,7100,40,113,125,9.2,41.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-20c-lipo-battery-cells.html,0,GRP7264159,Pouch,7500,144,144,159,6.7,64,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-20c-lipo-battery-cells.html,0,GRPA546143,Pouch,7900,120,142,144,10.2,45.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-20c-lipo-battery-cells.html,0,GRPA942124,Pouch,8000,40,127.5,125,10.6,41.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-20c-lipo-battery-cells.html,0,GRP6278146,Pouch,8200,57.4,149,146,6,78,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-20c-lipo-battery-cells.html,0,GRP9064159,Pouch,10000,70,187,158.5,8.7,63.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-20c-lipo-battery-cells.html,0,GRP9480200,Pouch,16400,98.4,324,200,9.1,79.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-25c-lipo-battery-cells.html,0,GRP5316075,Pouch,530,13.25,11.5,74.5,5.1,16,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-25c-lipo-battery-cells.html,0,GRP5719096,Pouch,1000,10,20,97,5.5,19,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-25c-lipo-battery-cells.html,0,GRP5043084,Pouch,2250,56.25,39.5,83.5,4.75,42.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-25c-lipo-battery-cells.html,0,GRP6338110,Pouch,2750,68.75,53.5,110.5,6.1,37.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-25c-lipo-battery-cells.html,0,GRP4842124,Pouch,3000,75,55,124.5,4.7,42,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-25c-lipo-battery-cells.html,0,GRPA036128,Pouch,5100,80,97,128,9.7,35.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-25c-lipo-battery-cells.html,0,GRP9542124,Pouch,6000,120,109,125,9.1,41.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-25c-lipo-battery-cells.html,0,GRPA437143,Pouch,6200,80,116,143,10.1,36.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-25c-lipo-battery-cells.html,0,GRP9842124,Pouch,6300,144,111.5,125,9.5,41.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-25c-lipo-battery-cells.html,0,GRP9642124,Pouch,6600,120,112,124.5,9.3,41.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-25c-lipo-battery-cells.html,0,GRP9942126,Pouch,6800,120,117.5,126.5,9.6,42,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-25c-lipo-battery-cells.html,0,GRP93A6105,Pouch,10500,84,190,105.5,9,105.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-25c-lipo-battery-cells.html,0,GRPA875175,Pouch,16000,112,292,174,10.5,74.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-25c-lipo-battery-cells.html,0,GRPA975175,Pouch,16800,117.6,295,174.5,10.6,74.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-25c-lipo-battery-cells.html,0,GRP9780218,Pouch,20000,140,350,218,9.4,80,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-25c-lipo-battery-cells.html,0,GRPA695183,Pouch,21000,147,378,182,10.3,94.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-25c-lipo-battery-cells.html,0,GRP9986218,Pouch,22000,154,386,217,9.6,85,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-25c-lipo-battery-cells.html,0,GRP91A6218,Pouch,23200,162.4,422,218,8.8,105.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-25c-lipo-battery-cells.html,0,GRPA4A6213,Pouch,28000,196,486,212.5,10.1,105.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-25c-lipo-battery-cells.html,0,GRPA2A6232,Pouch,30000,210,533,232,9.9,105.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-25c-lipo-battery-cells.html,0,GRPB0E3267,Pouch,50000,350,890,267,10.7,143,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-30c-lipo-battery-cells.html,0,GRP6711060,Pouch,300,6,7,60.3,6.3,10.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-30c-lipo-battery-cells.html,0,GRP6716062,Pouch,550,16.5,12.5,62,6.5,15.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-30c-lipo-battery-cells.html,0,GRP4235060,Pouch,770,23.1,16.5,59,3.9,34,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-30c-lipo-battery-cells.html,0,GRP5919096,Pouch,1000,30,21.5,97,5.7,19,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-30c-lipo-battery-cells.html,0,GRP7727066,Pouch,1300,39,26,65.5,7.4,26.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-30c-lipo-battery-cells.html,0,GRP5042070,Pouch,1400,42,28.5,71,4.8,42,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-30c-lipo-battery-cells.html,0,GRP7142126,Pouch,3800,96,76.5,127,6.8,41.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-30c-lipo-battery-cells.html,0,GRP8142126,Pouch,4350,96,85,126.5,7.7,41.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-30c-lipo-battery-cells.html,0,GRP7743143,Pouch,5000,120,96,143.5,7.4,42,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-30c-lipo-battery-cells.html,0,GRPA040121,Pouch,5400,96,102,122,9.8,39.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-30c-lipo-battery-cells.html,0,GRP7645150,Pouch,5600,120,110,150,7.3,44.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-30c-lipo-battery-cells.html,0,GRP9542124,Pouch,6300,120,109,125,9.2,41.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-30c-lipo-battery-cells.html,0,GRP9543143,Pouch,6500,120,124,143.5,9.2,42,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-30c-lipo-battery-cells.html,0,GRP9744124,Pouch,6550,120,118,124.5,9.4,42.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-30c-lipo-battery-cells.html,0,GRP9942124,Pouch,6600,120,113,124.5,9.5,41.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-30c-lipo-battery-cells.html,0,GRP9943143,Pouch,6800,120,129,143.5,9.6,42,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-30c-lipo-battery-cells.html,0,GRP6472150,Pouch,7000,210,138,149,6.2,71.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-30c-lipo-battery-cells.html,0,GRP8882218,Pouch,18500,148,343,218,8.5,81.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-30c-lipo-battery-cells.html,0,GRP9482218,Pouch,20000,160,368,217.5,9.1,81,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-30c-lipo-battery-cells.html,0,GRPA8A6232,Pouch,30000,240,546,232,10.5,105.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-35c-lipo-battery-cells.html,0,GRP6534096,Pouch,2000,70,42,96.5,6.3,33.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-35c-lipo-battery-cells.html,0,GRP7845150,Pouch,5600,120,112,150,7.5,44.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-35c-lipo-battery-cells.html,0,GRPA8A6232,Pouch,28000,252,556,232,10.5,105.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-35c-lipo-battery-cells.html,0,GRP92C0245,Pouch,30000,270,570,245,8.9,119.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-35c-lipo-battery-cells.html,0,GRPB8E6197,Pouch,41000,369,789,197,12.5,145.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-40c-lipo-battery-cells.html,0,GRP6534096,Pouch,850,34,18.5,59,4.5,34,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-40c-lipo-battery-cells.html,0,GRP8035062,Pouch,1400,56,33,62.5,7.7,34.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-40c-lipo-battery-cells.html,0,GRP9435062,Pouch,1650,66,39,63,9.1,34.5,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-40c-lipo-battery-cells.html,0,GRP4468088,Pouch,2000,80,47,87.5,4.2,67,3.8
GREPow,https://www.grepow.com/lihv-battery/3-8-v-high-voltage-40c-lipo-battery-cells.html,0,GRP47B5140,Pouch,6100,240,141,139,4.5,114.5,3.8
Molicell,https://www.molicel.com/products-applications/explore-by-product/,Molicell,P26A,Cylinder,2600,35,50,65.2,18.6,N/A,3.6
Molicell,https://www.molicel.com/products-applications/explore-by-product/,Molicell,P30B,Cylinder,3000,36,47,65.2,18.6,N/A,3.6
Molicell,https://www.molicel.com/products-applications/explore-by-product/,Molicell,P42A,Cylinder,4200,45,70,70.15,21.55,N/A,3.6
Molicell,https://www.molicel.com/products-applications/explore-by-product/,Molicell,P45B,Cylinder,4500,45,70,70.15,21.55,N/A,3.6
Molicell,https://www.molicel.com/products-applications/explore-by-product/,Molicell,P50B,Cylinder,5000,60,71,70.15,21.55,N/A,3.6
BATEMO,https://www.batemo.com/products/batemo-cell-explorer/a123-systems-26700-nca-gl/#get-report-popup,A123,26700 NCA GL,Cylinder,3300,5.49,87.6,69.5,25.8,N/A,3.6
BATEMO,https://www.batemo.com/products/batemo-cell-explorer/a123-systems-26700-nca-gf/,A123,26700 NCA GF,Cylinder,3300,8.45,87.7,69.5,25.8,N/A,3.6
DIY500AMP,https://diy500amp.com/products/ampace-jp30-18650-3000mah-36a?srsltid=AfmBOortCHRIthYZKqJI7UwqUm6260NfnjvF-dKahCldOX8VoxD-skYz,Ampace,JP30,Cylinder,3000,56,50,65.23,18.56,N/A,3.7
BeCell,https://www.becellbattery.com/shop/eve-50pl-battery-packs/,EVE,50PL,Cylinder,5000,125,72,70,21,N/A,3.6
18650BatteryStore,https://www.18650batterystore.com/products/eve-40pl-21700-4000mah-70a-battery?srsltid=AfmBOoqbUQ0si4NQPVsdxkLw03K91MHNyHAwTUXbootvFkA0GXycJKIn,EVE,40PL,Cylinder,4000,70,68,70,21.4,N/A,3.6
FlashlightToGo,https://flashlightgo.com/products/ampace-jp40-4000mah-45a-21700-battery,AMpace,JP40,Cylinder,4000,8,70,70,21.4,N/A,3.7
18650BatteryStore,https://www.18650batterystore.com/products/bak-45d-21700-4500mah-60a-battery?srsltid=AfmBOoqWik4auYfh2cMT7O8FXXUXuchmsNuvkM42KNjffYgOKRCN_5mQ,BAK,45D,Cylinder,4500,60,70,70,21.4,N/A,3.6
18650BatteryStore,https://www.18650batterystore.com/products/samsung-45t-21700-4500mah-50a-battery?srsltid=AfmBOopeKp0MfmQU_ETE8CHk3wx59Y_GJnKIz2aFj8M54b1YISBw2-gY,Samsung,45T,Cylinder,4500,50,70,70,21.4,N/A,3.6
18650-21700,https://18650-21700.com/products/am04-21700-160-amp-capable-racing-performance-long-life,0,AM04,Cylinder,4050,50,70,70,21.4,N/A,3.6
