/'Data'/'Voltage',/'Data'/'Current',/'Data'/'Energy',/'Data'/'GLV',/'Data'/'TeamSignal1',/'Data'/'TeamSignal2',/'Data'/'TeamSignal3',/'Data'/'TeamSignal4',/'Data'/'Violation'
257.565,0.087000005,2.0,24.329353,0,0,0,0,0
257.565,0.087000005,2.0,24.329353,0,0,0,0,0
260.484,0.094000004,2.0,24.329353,0,0,0,0,0
264.26602,0.089,2.0,24.364386,0,0,0,0,0
266.949,0.09,2.0,24.364386,0,0,0,0,0
269.82703,0.08800001,2.0,24.25929,0,0,0,0,0
273.47,0.09,2.0,24.241774,0,0,0,0,0
276.195,0.09,2.0,24.22426,0,0,0,0,0
278.906,0.08800001,2.0,24.241774,0,0,0,0,0
282.32602,0.08400001,2.0,24.294323,0,0,0,0,0
284.99503,0.082,2.0,24.25929,0,0,0,0,0
287.63702,0.085,2.0,24.189228,0,0,0,0,0
290.987,0.086,2.0,24.329353,0,0,0,0,0
293.407,0.083000004,2.0,24.34687,0,0,0,0,0
296.20102,0.078,2.0,24.25929,0,0,0,0,0
299.51,0.078,2.0,24.434448,0,0,0,0,0
301.846,0.07700001,2.0,24.241774,0,0,0,0,0
304.39,0.072000004,2.0,23.961523,0,0,0,0,0
307.62903,0.08400001,2.0,24.399418,0,0,0,0,0
309.979,0.075,2.0,24.189228,0,0,0,0,0
312.37003,0.078,2.0,24.416931,0,0,0,0,0
315.54,0.072000004,2.0,24.206745,0,0,0,0,0
317.79202,0.076000005,2.0,24.22426,0,0,0,0,0
320.18402,0.071,2.0,24.416931,0,0,0,0,0
323.21402,0.081,2.0,24.241774,0,0,0,0,0
325.48102,0.074,2.0,24.416931,0,0,0,0,0
327.677,0.07300001,2.0,24.381903,0,0,0,0,0
330.639,0.071,2.0,24.154196,0,0,0,0,0
332.794,0.074,2.0,24.276806,0,0,0,0,0
334.86502,0.071,2.0,24.329353,0,0,0,0,0
337.799,0.066,2.0,24.276806,0,0,0,0,0
339.954,0.071,2.0,24.329353,0,0,0,0,0
342.08102,0.07,2.0,24.276806,0,0,0,0,0
344.79202,0.069000006,2.0,24.22426,0,0,0,0,0
346.933,0.074,2.0,24.206745,0,0,0,0,0
348.976,0.064,2.0,24.241774,0,0,0,0,0
351.70102,0.068,2.0,24.329353,0,0,0,0,0
353.648,0.059000004,2.0,24.399418,0,0,0,0,0
355.63602,0.056,2.0,24.486996,0,0,0,0,0
358.264,0.069000006,2.0,24.171713,0,0,0,0,0
360.22403,0.063,2.0,24.451963,0,0,0,0,0
362.11502,0.067,2.0,24.486996,0,0,0,0,0
364.57602,0.056,2.0,24.084135,0,0,0,0,0
366.536,0.064,2.0,24.25929,0,0,0,0,0
368.329,0.065000005,2.0,24.311838,0,0,0,0,0
370.90103,0.058000002,2.0,24.381903,0,0,0,0,0
372.68103,0.052,2.0,24.434448,0,0,0,0,0
374.488,0.064,2.0,24.13668,0,0,0,0,0
376.824,0.057000004,2.0,24.294323,0,0,0,0,0
378.631,0.059000004,2.0,24.241774,0,0,0,0,0
380.397,0.052,2.0,24.206745,0,0,0,0,0
382.747,0.057000004,2.0,24.241774,0,0,0,0,0
384.42902,0.063,2.0,24.364386,0,0,0,0,0
386.153,0.055000003,2.0,24.084135,0,0,0,0,0
388.363,0.052,2.0,24.276806,0,0,0,0,0
390.04602,0.048000004,2.0,24.451963,0,0,0,0,0
391.7,0.055000003,2.0,24.434448,0,0,0,0,0
393.77203,0.054,2.0,24.171713,0,0,0,0,0
395.55103,0.05,2.0,24.241774,0,0,0,0,0
397.13602,0.053000003,2.0,24.171713,0,0,0,0,0
399.30502,0.047000002,2.0,24.154196,0,0,0,0,0
400.751,0.051000003,2.0,24.22426,0,0,0,0,0
402.26602,0.056,2.0,24.381903,0,0,0,0,0
404.449,0.056,2.0,24.13668,0,0,0,0,0
405.881,0.046000004,2.0,24.22426,0,0,0,0,0
407.48,0.043,2.0,24.276806,0,0,0,0,0
409.454,0.044000003,2.0,24.381903,0,0,0,0,0
410.98303,0.052,2.0,24.084135,0,0,0,0,0
412.346,0.062000003,2.0,24.434448,0,0,0,0,0
414.39,0.049000002,2.0,24.171713,0,0,0,0,0
415.83603,0.046000004,2.0,24.119165,0,0,0,0,0
417.087,0.052,2.0,24.451963,0,0,0,0,0
419.075,0.046000004,2.0,24.119165,0,0,0,0,0
420.424,0.048000004,2.0,24.101648,0,0,0,0,0
421.88303,0.052,2.0,24.25929,0,0,0,0,0
423.59302,0.042000003,2.0,24.399418,0,0,0,0,0
424.984,0.035,2.0,24.451963,0,0,0,0,0
426.30402,0.044000003,2.0,24.171713,0,0,0,0,0
428.11203,0.038000003,2.0,24.50451,0,0,0,0,0
429.33502,0.042000003,2.0,24.119165,0,0,0,0,0
430.74002,0.048000004,2.0,24.399418,0,0,0,0,0
432.45,0.042000003,2.0,24.364386,0,0,0,0,0
433.64502,0.032,2.0,24.434448,0,0,0,0,0
434.93802,0.045,2.0,24.171713,0,0,0,0,0
436.60703,0.045,2.0,24.294323,0,0,0,0,0
437.76,0.047000002,2.0,24.154196,0,0,0,0,0
439.08102,0.037,2.0,24.189228,0,0,0,0,0
440.59702,0.038000003,2.0,24.294323,0,0,0,0,0
441.778,0.037,2.0,24.416931,0,0,0,0,0
443.002,0.037,2.0,24.364386,0,0,0,0,0
444.58704,0.037,2.0,24.451963,0,0,0,0,0
445.657,0.032,2.0,24.329353,0,0,0,0,0
446.89502,0.039,2.0,24.049103,0,0,0,0,0
448.41003,0.043,2.0,24.329353,0,0,0,0,0
449.411,0.044000003,2.0,24.294323,0,0,0,0,0
450.59302,0.037,2.0,24.381903,0,0,0,0,0
452.053,0.033,2.0,24.01407,0,0,0,0,0
453.109,0.039,2.0,24.189228,0,0,0,0,0
454.22202,0.037,2.0,24.189228,0,0,0,0,0
455.68103,0.032,2.0,24.399418,0,0,0,0,0
456.71002,0.028,2.0,24.25929,0,0,0,0,0
457.739,0.037,2.0,24.34687,0,0,0,0,0
459.26804,0.036000002,2.0,24.399418,0,0,0,0,0
460.144,0.034,2.0,24.434448,0,0,0,0,0
461.22903,0.034,2.0,24.294323,0,0,0,0,0
462.53503,0.024000002,2.0,24.364386,0,0,0,0,0
463.467,0.035,2.0,24.276806,0,0,0,0,0
464.51,0.021000002,2.0,24.381903,0,0,0,0,0
465.78903,0.021000002,2.0,24.171713,0,0,0,0,0
466.76202,0.037,2.0,24.189228,0,0,0,0,0
467.73502,0.033,2.0,24.329353,0,0,0,0,0
469.04202,0.027,2.0,24.311838,0,0,0,0,0
470.08502,0.032,2.0,24.241774,0,0,0,0,0
470.933,0.030000001,2.0,24.189228,0,0,0,0,0
472.17,0.026,2.0,23.85643,0,0,0,0,0
472.87903,0.031000001,2.0,24.451963,0,0,0,0,0
