SampleID,Voltage,Current,Energy,GLV,Power
0.0,183.2860107421875,-0.06000000238418579,0.0,24.94240379333496,-10.997161081519153
1.0,183.2860107421875,-0.06000000238418579,0.0,24.94240379333496,-10.997161081519153
2.0,185.07901000976562,-0.06300000101327896,0.0,25.22265625,-11.659977818151901
3.0,187.48300170898438,-0.05100000277161598,0.0,25.012468338012695,-9.561633606789087
4.0,189.3310089111328,-0.06100000441074371,0.0,25.012468338012695,-11.549192378669659
5.0,191.1920166015625,-0.055000003427267075,0.0,25.082530975341797,-10.515561568352041
6.0,193.541015625,-0.06000000238418579,0.0,25.065013885498047,-11.61246139893774
7.0,195.3190155029297,-0.05400000140070915,0.0,25.065013885498047,-10.547227110743336
8.0,197.02801513671875,-0.06200000271201134,0.0,25.275203704833984,-12.215737472818773
9.0,199.3900146484375,-0.05700000375509262,0.0,25.415328979492188,-11.36523158368891
10.0,201.00201416015625,-0.055000003427267075,0.0,25.34526824951172,-11.055111467696179
11.0,202.67001342773438,-0.05100000277161598,0.0,25.362781524658203,-10.336171246537901
12.0,205.03201293945312,-0.049000002443790436,0.0,25.34526824951172,-10.046569135088475
13.0,206.67100524902344,-0.0560000017285347,0.0,25.34526824951172,-11.573576651183316
14.0,208.35301208496094,-0.052000001072883606,0.0,25.38029670715332,-10.8343568519565
15.0,210.5760040283203,-0.052000001072883606,0.0,25.39781379699707,-10.949952435396199
16.0,212.24301147460938,-0.05100000277161598,0.0,25.362781524658203,-10.8243941734612
17.0,213.98001098632812,-0.049000002443790436,0.0,25.450361251831055,-10.485021061252382
18.0,216.1750030517578,-0.0560000017285347,0.0,25.065013885498047,-12.105800544564431
19.0,217.74501037597656,-0.05300000309944153,0.0,25.39781379699707,-11.540486224814686
20.0,219.4960174560547,-0.052000001072883606,0.0,25.485393524169922,-11.413793143208522
21.0,221.67800903320312,-0.049000002443790436,0.0,25.275203704833984,-10.862222984361551
22.0,223.27601623535156,-0.058000002056360245,0.0,25.52042579650879,-12.950009400786314
23.0,224.84600830078125,-0.049000002443790436,0.0,25.502906799316406,-11.017454956214806
24.0,226.90200805664062,-0.05000000074505806,0.0,25.17011070251465,-11.345100571887201
25.0,228.68101501464844,-0.04700000211596489,0.0,25.467876434326172,-10.748008189569475
26.0,230.1120147705078,-0.046000003814697266,0.0,25.240171432495117,-10.585153557251033
27.0,232.19601440429688,-0.049000002443790436,0.0,25.362781524658203,-11.377605273248946
28.0,233.86300659179688,-0.052000001072883606,0.0,25.240171432495117,-12.160876593681223
29.0,235.364013671875,-0.05100000277161598,0.0,25.52042579650879,-12.003565349604287
30.0,237.26800537109375,-0.046000003814697266,0.0,25.32775115966797,-10.914329152175924
31.0,238.8380126953125,-0.05100000277161598,0.0,25.502906799316406,-12.18073930942819
32.0,240.32501220703125,-0.05100000277161598,0.0,25.55545425415039,-12.256576288647238
33.0,242.29800415039062,-0.05100000277161598,0.0,25.415328979492188,-12.357198883226943
34.0,243.8260040283203,-0.046000003814697266,0.0,25.415328979492188,-11.215997115425125
35.0,245.24301147460938,-0.04100000113248825,0.0,25.55545425415039,-10.054963748193813
36.0,247.23001098632812,-0.046000003814697266,0.0,25.432846069335938,-11.37258144847874
37.0,248.77301025390625,-0.04800000414252281,0.0,25.38029670715332,-11.94110552273537
38.0,250.05101013183594,-0.049000002443790436,0.0,25.31023597717285,-12.252500107532228
39.0,251.89901733398438,-0.04700000211596489,0.0,25.2927188873291,-11.839254347706742
40.0,253.35801696777344,-0.04500000178813934,0.0,25.187625885009766,-11.401111216589243
41.0,254.90000915527344,-0.039000000804662704,0.0,25.22265625,-9.941100562164195
42.0,256.7480163574219,-0.03700000047683716,0.0,25.240171432495117,-9.499676727651604
43.0,258.1240234375,-0.04700000211596489,0.0,25.415328979492188,-12.13182964774387
44.0,259.4990234375,-0.04100000113248825,0.0,25.38029670715332,-10.639460254817095
45.0,261.2920227050781,-0.04000000283122063,0.0,25.39781379699707,-10.45168164797849
46.0,262.5290222167969,-0.04700000211596489,0.0,25.38029670715332,-12.338864599691647
47.0,263.98699951171875,-0.046000003814697266,0.0,25.32775115966797,-12.143402984569548
48.0,265.7660217285156,-0.0430000014603138,0.0,25.415328979492188,-11.42793932242796
49.0,267.1280212402344,-0.04100000113248825,0.0,25.415328979492188,-10.952249173368955
50.0,268.364013671875,-0.03800000250339508,0.0,25.52042579650879,-10.197833191352402
51.0,270.1570129394531,-0.036000002175569534,0.0,25.537939071655273,-9.72565305356568
52.0,271.5050048828125,-0.04000000283122063,0.0,25.450361251831055,-10.86020096400307
53.0,272.86602783203125,-0.04100000113248825,0.0,25.362781524658203,-11.187507450130852
54.0,274.5480041503906,-0.039000000804662704,0.0,25.537939071655273,-10.707372382783774
55.0,275.89501953125,-0.04700000211596489,0.0,25.362781524658203,-12.967066501752925
56.0,277.10400390625,-0.03700000047683716,0.0,25.275203704833984,-10.252848276664736
57.0,278.79901123046875,-0.03500000014901161,0.0,25.467876434326172,-9.757965434610696
58.0,280.0920104980469,-0.04100000113248825,0.0,25.362781524658203,-11.483772747620833
59.0,281.3000183105469,-0.039000000804662704,0.0,25.2927188873291,-10.970700940462962
60.0,282.926025390625,-0.03800000250339508,0.0,25.450361251831055,-10.75118967311937
61.0,284.1490173339844,-0.04100000113248825,0.0,25.432846069335938,-11.650110032488783
62.0,285.28802490234375,-0.03800000250339508,0.0,25.31023597717285,-10.8409456604777
63.0,287.0250244140625,-0.04100000113248825,0.0,25.432846069335938,-11.76802632602903
