SampleID,Voltage,Current,Energy,GLV,Power
0.0,183.86500549316406,-0.05100000277161598,-4.0,25.2927188873291,-9.377115789754555
1.0,183.86500549316406,-0.05100000277161598,-4.0,25.2927188873291,-9.377115789754555
2.0,185.7130126953125,-0.06000000238418579,-4.0,25.39781379699707,-11.142781204493076
3.0,188.27000427246094,-0.06400000303983688,-4.0,25.362781524658203,-12.049280845747603
4.0,190.22900390625,-0.0560000017285347,-4.0,25.31023597717285,-10.652824547567434
5.0,190.22900390625,-0.06000000238418579,-4.0,25.240171432495117,-11.413740687916288
6.0,191.98001098632812,-0.05700000375509262,-4.0,25.32775115966797,-10.942861347123426
7.0,194.5500030517578,-0.05700000375509262,-4.0,25.257688522338867,-11.089350904503476
8.0,196.3560028076172,-0.06100000441074371,-4.0,25.32775115966797,-11.977717037340653
9.0,198.12100219726562,-0.06100000441074371,-4.0,25.38029670715332,-12.085382007894168
10.0,200.65000915527344,-0.05400000140070915,-4.0,25.275203704833984,-10.83510077543707
11.0,202.3590087890625,-0.05100000277161598,-4.0,25.31023597717285,-10.32031000910365
12.0,204.12301635742188,-0.052000001072883606,-4.0,25.1525936126709,-10.614397069586175
13.0,206.40200805664062,-0.049000002443790436,-4.0,25.2927188873291,-10.113698899178644
14.0,208.1110076904297,-0.05100000277161598,-4.0,25.362781524658203,-10.613661969015709
15.0,209.94500732421875,-0.05700000375509262,-4.0,25.31023597717285,-11.966866205843417
16.0,212.37701416015625,-0.05100000277161598,-4.0,25.34526824951172,-10.831228310795495
17.0,214.04400634765625,-0.05700000375509262,-4.0,25.2927188873291,-12.200509165571475
18.0,215.72500610351562,-0.05300000309944153,-4.0,25.275203704833984,-11.43342599211337
19.0,218.10101318359375,-0.05900000408291817,-4.0,25.240171432495117,-12.86796066832062
20.0,219.6300048828125,-0.049000002443790436,-4.0,25.32775115966797,-10.761870775987518
21.0,221.3800048828125,-0.05100000277161598,-4.0,25.22265625,-11.290380862603797
22.0,223.5340118408203,-0.049000002443790436,-4.0,25.432846069335938,-10.953167126470476
23.0,225.22900390625,-0.052000001072883606,-4.0,25.415328979492188,-11.711908444769506
24.0,226.86900329589844,-0.05700000375509262,-4.0,25.275203704833984,-12.931534039780331
